order_id,user_id,restaurant_id,location,cuisine,order_time,items_count,order_value,payment_method,delivery_time_minutes,rating,is_repeat_customer
39,9792,390,Bangalore,Fast Food,21-01-2024 07:46,6,801.77,NetBanking,39,4,0
40,9433,448,Hyderabad,Mughlai,17-01-2024 13:25,6,899.05,NetBanking,54,,0
41,8513,716,Ahmedabad,South Indian,08-01-2024 23:40,4,579.53,Cash,40,1,1
42,3612,832,Kolkata,Italian,05-01-2024 10:22,1,877.55,NetBanking,33,2,0
43,8041,687,Ahmedabad,Mughlai,19-01-2024 17:47,4,404.49,Cash,34,4,0
44,7235,326,Bangalore,Bakery,05-01-2024 01:41,3,798.43,Card,44,4,0
45,6486,695,Mumbai,Fast Food,07-01-2024 03:22,7,676.13,Cash,50,5,0
46,8099,687,Chennai,North Indian,24-01-2024 18:26,3,1088.39,UPI,34,3,0
47,1775,860,Ahmedabad,Chinese,01-01-2024 08:18,3,840.55,Card,36,3,0
48,9226,866,Delhi,South Indian,26-01-2024 06:39,7,756.28,Card,51,5,0
49,4152,149,Ahmedabad,Chinese,06-01-2024 07:11,2,444.38,NetBanking,41,3,0
50,2585,967,Pune,Italian,01-01-2024 10:13,7,1049.08,Card,46,5,1
51,4943,821,Ahmedabad,North Indian,25-01-2024 17:07,2,159.57,Card,36,,0
52,8555,257,Pune,Mughlai,07-01-2024 11:26,5,1089.73,Cash,22,5,0
53,4073,427,Pune,Mughlai,28-01-2024 14:11,1,818.28,Card,26,1,0
54,2021,844,Chennai,South Indian,25-01-2024 03:05,7,308.44,Card,39,4,0
55,4843,982,Ahmedabad,Fast Food,15-01-2024 12:27,1,1093.3,Card,32,,0
56,8989,176,Chennai,Fast Food,29-01-2024 00:00,6,458.99,Cash,15,,0
57,7873,834,Bangalore,North Indian,06-01-2024 08:31,3,285.1,Cash,46,4,1
58,6675,732,Pune,North Indian,30-01-2024 13:05,3,451.06,Card,16,3,0
59,1161,553,Pune,Bakery,28-01-2024 10:29,6,1157.18,Card,50,2,0
60,5297,409,Pune,Chinese,17-01-2024 04:18,2,928.03,NetBanking,36,,1
61,1995,426,Mumbai,South Indian,06-01-2024 04:23,4,1108.47,UPI,30,4,1
62,8629,607,Bangalore,Italian,18-01-2024 05:30,6,428.76,Card,42,1,0
63,2016,952,Hyderabad,North Indian,25-01-2024 12:21,7,190.68,UPI,50,5,0
64,8869,969,Pune,South Indian,28-01-2024 21:32,1,719.03,UPI,30,4,0
65,7439,206,Mumbai,Bakery,20-01-2024 21:20,1,631.3,NetBanking,49,3,1
66,8892,340,Ahmedabad,Cafe,16-01-2024 18:32,4,892.67,Card,47,2,1
67,7863,534,Kolkata,North Indian,17-01-2024 16:35,1,696.94,Cash,39,4,1
68,8916,127,Mumbai,Mughlai,27-01-2024 08:10,1,536.11,Cash,53,1,0
69,9529,803,Ahmedabad,North Indian,14-01-2024 14:09,7,105.15,Card,26,5,0
70,1878,348,Mumbai,Fast Food,08-01-2024 16:08,2,614.52,UPI,30,4,0
71,5887,463,Bangalore,Mughlai,06-01-2024 22:32,1,232.71,Cash,50,2,1
72,5859,824,Chennai,Mughlai,16-01-2024 23:26,3,1114.2,Cash,47,4,0
73,7331,632,Chennai,Cafe,14-01-2024 08:52,3,1113.88,UPI,50,3,0
74,9571,571,Chennai,South Indian,12-01-2024 20:50,5,984.01,NetBanking,50,5,1
75,9684,766,Ahmedabad,Fast Food,14-01-2024 12:40,2,273.65,NetBanking,42,4,0
76,8208,638,Ahmedabad,Bakery,07-01-2024 22:46,2,262.18,Cash,48,5,0
77,6276,688,Ahmedabad,Fast Food,12-01-2024 14:39,3,719.64,UPI,30,4,0
78,3062,917,Chennai,Cafe,01-01-2024 15:41,2,900.21,Card,43,3,0
79,1064,512,Chennai,Mughlai,20-01-2024 18:11,7,1094.99,UPI,43,5,1
80,9006,668,Hyderabad,Bakery,26-01-2024 16:16,2,1083.44,Cash,38,5,0
81,3568,730,Delhi,Cafe,07-01-2024 14:39,5,270.86,NetBanking,37,,0
82,6463,264,Kolkata,South Indian,11-01-2024 06:44,4,1195.02,Card,31,4,0
83,3027,675,Mumbai,Bakery,11-01-2024 07:47,6,272.48,Card,18,4,0
84,3695,147,Delhi,Bakery,05-01-2024 16:59,1,1024.13,Cash,37,3,1
85,6258,761,Hyderabad,Fast Food,01-01-2024 00:24,5,745.64,NetBanking,36,3,0
86,6618,583,Pune,Cafe,16-01-2024 22:27,7,846.12,Cash,52,1,0
87,7736,257,Pune,Chinese,08-01-2024 09:05,4,764.37,UPI,41,5,0
88,1391,767,Chennai,Cafe,29-01-2024 10:58,1,1056.65,NetBanking,44,3,1
89,6892,250,Pune,Italian,27-01-2024 10:46,3,800.81,NetBanking,36,5,0
90,4561,324,Hyderabad,Italian,05-01-2024 02:31,4,1033.53,UPI,20,3,0
91,7184,359,Kolkata,Chinese,27-01-2024 09:43,1,269.8,NetBanking,41,,0
92,4099,486,Kolkata,Mughlai,14-01-2024 00:31,5,1053.38,Card,36,3,1
93,7278,355,Hyderabad,North Indian,19-01-2024 17:15,1,1192.25,Card,27,3,0
94,9392,160,Pune,Mughlai,27-01-2024 02:25,2,827.66,Cash,38,4,0
95,4104,963,Delhi,Fast Food,26-01-2024 16:49,6,1174,UPI,47,3,0
96,8215,871,Mumbai,Italian,07-01-2024 06:39,1,341.87,Card,44,4,1
97,3454,932,Bangalore,South Indian,13-01-2024 23:31,3,1012.21,NetBanking,36,1,1
98,9996,495,Bangalore,Bakery,06-01-2024 23:34,5,285.95,NetBanking,21,2,0
99,3731,496,Kolkata,Bakery,02-01-2024 18:01,7,667.54,Cash,23,2,0
100,9154,261,Mumbai,North Indian,07-01-2024 04:25,4,830.44,NetBanking,46,2,0
101,6056,479,Chennai,Mughlai,03-01-2024 05:44,1,826.29,UPI,49,,0
102,9110,542,Hyderabad,Italian,29-01-2024 02:58,5,837.95,Card,31,,1
103,4840,448,Pune,Cafe,26-01-2024 14:14,3,453.02,Cash,36,1,1
104,2028,130,Chennai,Fast Food,30-01-2024 03:35,7,1171.09,Cash,40,3,0
105,8385,170,Kolkata,Italian,25-01-2024 00:05,6,107.21,Card,46,2,0
106,1502,496,Ahmedabad,Fast Food,15-01-2024 09:58,4,783.1,Card,43,5,0
107,7910,537,Hyderabad,North Indian,07-01-2024 05:14,7,1052.72,UPI,51,2,0
108,7938,101,Bangalore,Cafe,29-01-2024 12:12,1,1080.22,NetBanking,50,2,0
109,5488,661,Ahmedabad,Cafe,08-01-2024 14:37,3,892.23,NetBanking,24,4,0
110,1206,234,Kolkata,Cafe,16-01-2024 13:57,2,732.29,Card,37,1,1
111,6134,245,Kolkata,Bakery,12-01-2024 23:32,5,603.07,NetBanking,19,,0
112,6977,278,Mumbai,Chinese,28-01-2024 18:39,5,594.47,Card,25,4,1
113,8721,363,Delhi,Bakery,04-01-2024 14:53,1,567.61,NetBanking,26,,0
114,8035,410,Kolkata,Fast Food,12-01-2024 19:21,3,869.88,Card,34,3,1
115,2484,303,Delhi,Fast Food,05-01-2024 11:33,4,904.33,NetBanking,24,2,0
116,8858,910,Mumbai,Mughlai,15-01-2024 14:24,4,666.24,UPI,40,,1
117,1863,798,Kolkata,North Indian,19-01-2024 10:51,4,914.89,Cash,26,4,1
118,3790,129,Ahmedabad,North Indian,13-01-2024 09:03,4,681.3,NetBanking,39,,0
119,8408,158,Pune,South Indian,28-01-2024 12:18,1,207.09,Card,22,,0
120,9755,108,Kolkata,Bakery,01-01-2024 10:10,1,1036.78,UPI,34,5,0
121,6116,423,Ahmedabad,Bakery,14-01-2024 10:28,7,1057.53,UPI,24,2,1
122,7019,266,Ahmedabad,North Indian,15-01-2024 07:49,5,393.11,Cash,39,2,1
123,2757,436,Bangalore,Italian,03-01-2024 12:52,7,965.08,UPI,44,4,0
124,8574,478,Hyderabad,Fast Food,10-01-2024 21:09,3,662.29,Cash,26,3,0
125,7374,997,Ahmedabad,Cafe,20-01-2024 21:04,2,236.43,NetBanking,22,3,0
126,7892,890,Pune,Chinese,11-01-2024 21:51,1,537.8,NetBanking,37,2,0
127,2678,802,Delhi,North Indian,17-01-2024 01:14,7,184.21,NetBanking,31,2,1
128,4242,341,Bangalore,Cafe,20-01-2024 22:57,4,965.11,Card,18,3,0
129,5636,889,Pune,Fast Food,15-01-2024 03:46,2,315.86,NetBanking,15,4,0
130,2059,765,Kolkata,Chinese,22-01-2024 12:09,7,280.83,Cash,51,1,1
131,7668,259,Mumbai,South Indian,30-01-2024 04:55,5,329.39,NetBanking,53,3,0
132,4157,876,Chennai,Mughlai,02-01-2024 13:39,4,348.74,UPI,22,4,0
133,6915,334,Bangalore,Italian,26-01-2024 01:57,6,841.35,Cash,47,3,0
134,3693,552,Bangalore,South Indian,24-01-2024 05:25,3,802.46,NetBanking,51,4,1
135,4627,957,Chennai,North Indian,23-01-2024 23:18,2,242.27,Card,53,2,0
136,6450,298,Kolkata,Italian,12-01-2024 06:09,5,896.86,Cash,49,,1
137,2663,576,Bangalore,South Indian,20-01-2024 23:12,7,483.96,Cash,39,2,0
138,6592,132,Delhi,Fast Food,25-01-2024 10:07,1,603.22,Cash,43,4,0
139,8392,507,Kolkata,North Indian,07-01-2024 06:13,3,237.35,Card,54,2,0
140,2306,188,Ahmedabad,Bakery,12-01-2024 06:51,4,879.49,NetBanking,42,,0
141,7776,706,Delhi,South Indian,09-01-2024 21:07,2,513.84,UPI,49,4,0
142,6864,320,Delhi,Italian,11-01-2024 22:06,5,795.34,UPI,17,4,0
143,8526,168,Bangalore,Italian,05-01-2024 21:50,2,569.94,Card,16,5,0
144,9901,393,Ahmedabad,Mughlai,23-01-2024 13:35,3,153.76,UPI,30,2,0
145,6575,336,Kolkata,Bakery,07-01-2024 14:41,7,873.84,Cash,47,3,0
146,6530,259,Ahmedabad,Cafe,26-01-2024 18:53,1,707.76,Cash,21,,0
147,5413,931,Bangalore,Chinese,09-01-2024 13:27,1,577.67,UPI,37,4,0
148,4748,939,Bangalore,Italian,08-01-2024 20:43,7,321.71,Cash,45,4,0
149,1663,887,Kolkata,Italian,09-01-2024 10:27,6,786.78,Card,32,1,1
150,2998,389,Kolkata,Mughlai,13-01-2024 18:44,3,402.72,Cash,34,1,1
151,8994,978,Kolkata,Cafe,10-01-2024 03:58,4,572.09,Card,22,1,1
152,2495,653,Pune,North Indian,19-01-2024 23:00,2,162.13,NetBanking,44,3,1
153,4304,677,Kolkata,Italian,03-01-2024 13:40,4,954.42,Cash,27,4,1
154,4763,632,Mumbai,Chinese,04-01-2024 14:54,5,199.04,NetBanking,52,3,1
155,6232,434,Kolkata,Italian,19-01-2024 17:03,4,1079.92,UPI,44,4,0
156,2853,681,Chennai,Chinese,08-01-2024 12:33,6,1054.33,UPI,34,4,0
157,7585,872,Kolkata,Cafe,03-01-2024 03:38,3,1168.2,Cash,24,2,0
158,2291,601,Bangalore,Fast Food,01-01-2024 00:45,6,1099.29,Card,42,5,1
159,4581,345,Chennai,Chinese,26-01-2024 01:06,1,1168.55,Card,33,4,0
160,8554,422,Pune,North Indian,29-01-2024 08:43,6,1076,Card,16,2,1
161,8280,846,Hyderabad,South Indian,15-01-2024 14:09,3,223.76,Card,41,,0
162,2636,883,Delhi,Bakery,15-01-2024 02:26,3,581.45,Card,27,2,1
163,4696,710,Mumbai,South Indian,06-01-2024 11:36,2,183.77,Card,26,3,1
164,1698,428,Chennai,Fast Food,07-01-2024 21:51,3,699.83,Card,46,,0
165,5737,646,Pune,North Indian,25-01-2024 10:45,5,682.73,UPI,31,3,1
166,1854,438,Delhi,Fast Food,26-01-2024 06:31,2,1114.4,NetBanking,54,2,0
167,9164,270,Ahmedabad,Fast Food,30-01-2024 06:37,2,1166.66,NetBanking,52,,0
168,6855,209,Mumbai,Mughlai,12-01-2024 03:22,4,385.61,UPI,35,,0
169,8392,906,Kolkata,Italian,17-01-2024 00:18,6,740.54,UPI,47,4,0
170,7528,109,Ahmedabad,Italian,25-01-2024 06:58,3,610.89,UPI,38,5,0
171,6249,301,Pune,North Indian,17-01-2024 03:30,4,701.41,Cash,30,,0
172,6172,356,Delhi,South Indian,23-01-2024 21:03,4,684.9,Card,17,2,1
173,2707,361,Pune,Chinese,05-01-2024 00:44,6,1105.54,NetBanking,37,5,0
174,6791,792,Bangalore,Italian,23-01-2024 03:31,2,1085.74,UPI,32,1,1
175,6535,529,Bangalore,North Indian,25-01-2024 20:12,4,235.01,Card,24,4,1
176,5931,606,Kolkata,Mughlai,25-01-2024 22:22,4,479.62,Card,46,4,0
177,4510,165,Delhi,North Indian,29-01-2024 03:09,2,928.05,Card,27,3,1
178,1202,905,Kolkata,Cafe,01-01-2024 22:58,2,852.39,Card,33,4,0
179,5218,772,Kolkata,South Indian,18-01-2024 19:36,1,794.31,Cash,46,3,0
180,9958,678,Mumbai,North Indian,03-01-2024 10:18,3,1193.19,NetBanking,53,1,0
181,5389,711,Delhi,Bakery,24-01-2024 18:47,1,470.63,Card,27,2,0
182,3327,688,Hyderabad,North Indian,16-01-2024 16:58,6,666.77,UPI,23,,1
183,9004,134,Kolkata,South Indian,22-01-2024 07:02,7,1177.07,UPI,26,3,1
184,3931,656,Mumbai,Italian,20-01-2024 09:10,2,865.11,Cash,20,4,0
185,8777,761,Mumbai,Mughlai,13-01-2024 02:29,5,813.55,Cash,34,3,0
186,1197,590,Delhi,South Indian,04-01-2024 01:43,4,270.22,NetBanking,34,,1
187,8125,679,Chennai,Mughlai,10-01-2024 18:59,4,371.32,Card,22,,1
188,2930,353,Pune,Fast Food,18-01-2024 13:29,2,515.22,Cash,23,4,1
189,7287,116,Kolkata,Italian,20-01-2024 06:41,4,611.33,Cash,18,3,0
190,9800,360,Kolkata,Mughlai,10-01-2024 23:42,1,646.93,UPI,35,3,0
191,5282,824,Delhi,Fast Food,08-01-2024 19:56,4,1092.35,Cash,22,3,0
192,3511,924,Chennai,North Indian,02-01-2024 15:08,5,217.93,UPI,49,1,0
193,1659,355,Mumbai,Fast Food,21-01-2024 04:56,3,373.19,NetBanking,35,1,1
194,3811,827,Ahmedabad,South Indian,17-01-2024 07:37,6,258,NetBanking,40,4,0
195,8098,962,Pune,South Indian,07-01-2024 21:49,6,908.84,UPI,20,4,1
196,7546,523,Bangalore,Cafe,21-01-2024 11:45,6,1167.64,UPI,19,1,0
197,2986,600,Kolkata,Chinese,17-01-2024 04:05,7,1083.36,NetBanking,40,3,0
198,9338,385,Bangalore,Cafe,29-01-2024 09:56,1,895.63,Card,41,,0
199,3911,106,Pune,Cafe,22-01-2024 12:29,3,123.68,UPI,32,3,0
200,2734,596,Kolkata,Mughlai,24-01-2024 22:47,3,481.73,Cash,51,3,1
201,2843,991,Pune,Bakery,23-01-2024 12:06,5,1049.98,NetBanking,35,1,1
202,9680,298,Delhi,Cafe,28-01-2024 00:16,6,818.38,Cash,30,5,0
203,3976,702,Kolkata,Mughlai,02-01-2024 07:24,5,330.56,NetBanking,47,4,1
204,2959,758,Chennai,North Indian,25-01-2024 03:12,5,613.14,UPI,54,2,0
205,6759,517,Kolkata,South Indian,10-01-2024 02:59,5,196.71,UPI,16,3,0
206,7694,761,Delhi,Italian,26-01-2024 11:21,6,672.88,UPI,42,4,0
207,3385,151,Pune,Cafe,29-01-2024 14:27,1,1091.13,UPI,18,3,0
208,5736,342,Hyderabad,Cafe,26-01-2024 22:23,7,142.59,UPI,34,3,0
209,2802,318,Delhi,Cafe,10-01-2024 06:28,5,775.28,NetBanking,36,4,0
210,9155,617,Delhi,South Indian,14-01-2024 12:11,1,356.41,Cash,33,4,0
211,9120,208,Ahmedabad,Italian,11-01-2024 13:46,4,1189.42,Card,44,4,1
212,7616,450,Ahmedabad,North Indian,19-01-2024 19:19,3,171.61,NetBanking,49,3,0
213,6534,165,Delhi,Bakery,28-01-2024 01:10,6,779.02,UPI,19,2,1
214,5061,109,Delhi,Chinese,20-01-2024 01:55,4,382.01,UPI,18,3,0
215,1262,301,Chennai,Chinese,21-01-2024 05:13,7,1070.71,Card,29,3,0
216,7287,893,Kolkata,Fast Food,07-01-2024 04:57,4,234.12,UPI,38,,0
217,9815,313,Chennai,South Indian,30-01-2024 18:12,2,572.18,Cash,47,4,1
218,3049,167,Chennai,North Indian,14-01-2024 01:35,6,303.9,Cash,24,4,0
219,6423,858,Hyderabad,Fast Food,17-01-2024 16:25,4,979.39,Card,49,4,0
220,5548,965,Hyderabad,North Indian,20-01-2024 19:11,4,486.59,UPI,51,4,1
221,4108,426,Kolkata,North Indian,22-01-2024 22:55,2,305.38,UPI,46,2,1
222,8158,149,Kolkata,Fast Food,14-01-2024 17:53,6,898.49,Cash,30,3,1
223,8400,116,Pune,North Indian,28-01-2024 07:38,7,998.94,Cash,27,4,0
224,4170,622,Delhi,Mughlai,20-01-2024 03:57,4,608.64,UPI,31,3,1
225,3255,920,Chennai,Fast Food,03-01-2024 21:44,2,516.73,UPI,19,1,0
226,2154,405,Hyderabad,Mughlai,18-01-2024 00:21,7,795.36,UPI,22,3,1
227,5499,491,Bangalore,Cafe,20-01-2024 05:52,1,816.54,UPI,40,2,1
228,7295,223,Delhi,Cafe,17-01-2024 12:15,3,826.82,UPI,26,5,0
229,7197,603,Pune,Bakery,01-01-2024 08:51,5,403.33,Cash,52,4,0
230,2648,324,Mumbai,South Indian,16-01-2024 03:04,4,1135.43,NetBanking,53,,0
231,6539,855,Chennai,Fast Food,02-01-2024 12:48,7,334.79,Cash,39,3,1
232,5199,417,Delhi,South Indian,28-01-2024 15:04,1,511.57,Cash,49,3,1
233,9445,572,Kolkata,Cafe,01-01-2024 05:14,3,412.06,NetBanking,19,,0
234,3557,943,Delhi,Chinese,28-01-2024 11:12,7,1124.24,Cash,27,3,1
235,6592,990,Mumbai,Fast Food,18-01-2024 23:42,7,1011.21,Card,52,3,0
236,1098,957,Kolkata,Cafe,25-01-2024 03:21,7,992.4,Cash,44,1,0
237,3200,640,Bangalore,Mughlai,20-01-2024 15:59,1,105.18,NetBanking,27,2,0
238,3961,457,Hyderabad,Bakery,04-01-2024 02:06,2,854.49,UPI,29,5,1
239,5973,582,Hyderabad,Chinese,24-01-2024 08:34,7,353.3,Cash,33,4,0
240,5433,968,Mumbai,Mughlai,26-01-2024 12:47,1,1164.52,Cash,52,3,0
241,3869,977,Pune,Fast Food,11-01-2024 20:30,7,683.83,NetBanking,52,,1
242,1956,976,Mumbai,North Indian,27-01-2024 03:56,4,721.17,Cash,46,4,0
243,9352,528,Pune,Mughlai,20-01-2024 16:28,4,492.13,Card,49,4,1
244,6699,896,Pune,Mughlai,26-01-2024 22:36,6,690.4,Cash,34,5,0
245,7944,596,Ahmedabad,Chinese,11-01-2024 23:41,5,924.71,Cash,34,4,0
246,5493,571,Hyderabad,Italian,18-01-2024 13:55,5,718.11,UPI,27,2,0
247,5911,670,Bangalore,Italian,01-01-2024 20:55,4,805.39,UPI,40,3,0
248,4987,754,Ahmedabad,Italian,15-01-2024 23:45,1,619.71,NetBanking,31,4,0
249,7015,937,Bangalore,Chinese,15-01-2024 03:03,7,888.04,UPI,44,1,1
250,2218,963,Delhi,South Indian,15-01-2024 22:44,7,1089.51,UPI,18,2,1
251,5496,399,Mumbai,Fast Food,13-01-2024 18:12,6,156.16,Card,22,5,0
252,5735,837,Ahmedabad,North Indian,18-01-2024 09:11,6,218.03,Cash,23,,0
253,5555,775,Mumbai,North Indian,06-01-2024 11:59,7,854.17,Card,36,,1
254,9050,183,Ahmedabad,Cafe,22-01-2024 11:56,7,515.47,Cash,26,4,0
255,4446,476,Mumbai,Chinese,26-01-2024 14:00,4,409.78,UPI,33,4,1
256,2045,412,Kolkata,Italian,21-01-2024 06:54,1,296.45,Cash,47,4,1
257,7893,728,Hyderabad,Bakery,09-01-2024 21:03,4,729.9,Cash,18,3,1
258,2693,419,Ahmedabad,Cafe,04-01-2024 15:58,3,482.29,Cash,16,3,1
259,4436,303,Hyderabad,North Indian,04-01-2024 22:07,1,658.76,Card,21,2,1
260,9754,454,Hyderabad,Bakery,26-01-2024 13:29,2,1154.42,UPI,17,3,1
261,6895,393,Bangalore,Cafe,01-01-2024 09:57,7,934.09,NetBanking,22,1,0
262,4354,603,Ahmedabad,Bakery,15-01-2024 06:06,2,975.55,UPI,23,5,1
263,1225,244,Hyderabad,North Indian,07-01-2024 22:13,7,236.62,Card,35,,0
264,5893,638,Ahmedabad,South Indian,12-01-2024 01:17,7,457.48,Card,35,2,0
265,8022,116,Delhi,North Indian,25-01-2024 19:35,5,216.86,Card,46,3,1
266,6600,674,Kolkata,Cafe,08-01-2024 11:23,3,1165.37,NetBanking,15,3,1
267,8996,878,Hyderabad,Mughlai,10-01-2024 12:27,2,850.41,NetBanking,36,4,0
268,8683,675,Ahmedabad,Mughlai,17-01-2024 06:01,7,121.16,NetBanking,16,4,0
269,5642,138,Kolkata,North Indian,22-01-2024 15:47,4,623.06,UPI,23,3,1
270,8679,229,Kolkata,Fast Food,13-01-2024 11:07,2,389.88,UPI,53,2,0
271,9208,214,Bangalore,North Indian,23-01-2024 18:10,4,693.95,UPI,29,3,0
272,8339,549,Mumbai,Fast Food,05-01-2024 12:07,3,296.52,Card,30,4,0
273,3205,144,Kolkata,Mughlai,29-01-2024 23:58,6,162.54,NetBanking,24,1,0
274,2069,315,Delhi,Cafe,17-01-2024 06:03,6,455.5,NetBanking,23,3,0
275,4444,699,Bangalore,Italian,08-01-2024 11:46,6,425.06,Card,30,2,0
276,2060,947,Chennai,South Indian,14-01-2024 09:31,7,888.66,UPI,26,1,1
277,3327,514,Kolkata,Cafe,27-01-2024 13:03,5,622,Cash,35,3,0
278,4420,788,Ahmedabad,Bakery,16-01-2024 01:26,6,420.46,Cash,44,3,0
279,1301,364,Pune,Cafe,30-01-2024 01:08,2,727.47,UPI,41,4,0
280,1606,539,Kolkata,North Indian,12-01-2024 16:27,5,178.45,NetBanking,27,2,0
281,4170,716,Mumbai,South Indian,25-01-2024 19:59,6,828.59,Cash,42,1,0
282,1699,480,Hyderabad,Cafe,06-01-2024 20:02,6,262.02,Card,37,1,0
283,6088,945,Ahmedabad,Mughlai,02-01-2024 01:10,3,407.67,NetBanking,41,3,1
284,1190,400,Ahmedabad,Bakery,13-01-2024 20:49,1,410.34,UPI,36,1,1
285,1980,270,Bangalore,Cafe,30-01-2024 19:04,6,612.44,Card,27,1,1
286,3975,719,Chennai,Cafe,24-01-2024 09:54,3,1148.47,Cash,45,3,1
287,7102,505,Bangalore,South Indian,10-01-2024 17:08,3,457.13,UPI,38,,0
288,2184,454,Hyderabad,Mughlai,08-01-2024 09:16,7,409.45,NetBanking,31,4,0
289,4327,260,Bangalore,Bakery,05-01-2024 00:32,3,285.68,Cash,29,4,0
290,4394,894,Ahmedabad,Bakery,30-01-2024 09:49,1,531.17,Card,54,2,1
291,9319,651,Chennai,South Indian,25-01-2024 02:35,1,300.25,UPI,30,4,0
292,2816,125,Bangalore,Chinese,22-01-2024 08:56,3,251.55,NetBanking,21,2,0
293,6854,182,Delhi,Fast Food,08-01-2024 02:02,1,1043.09,Card,28,4,0
294,7709,272,Delhi,Bakery,04-01-2024 17:27,4,157.9,Card,49,5,0
295,1569,784,Hyderabad,Bakery,14-01-2024 07:48,3,881.91,Card,37,3,1
296,6442,893,Pune,Bakery,13-01-2024 12:15,6,322.83,Card,24,2,0
297,2895,169,Pune,Bakery,23-01-2024 18:30,2,112.89,UPI,15,3,0
298,3733,934,Chennai,South Indian,14-01-2024 15:48,4,974.66,Cash,25,3,0
299,4863,105,Ahmedabad,Bakery,30-01-2024 07:31,3,872.51,NetBanking,18,5,0
300,8455,895,Chennai,Mughlai,10-01-2024 11:29,2,467.73,NetBanking,51,4,0
301,5014,294,Chennai,Mughlai,22-01-2024 03:07,7,187.27,Cash,33,,0
302,2686,624,Chennai,Mughlai,19-01-2024 03:20,6,496.74,Card,52,,0
303,4009,162,Chennai,Italian,13-01-2024 14:41,2,299.46,Card,37,3,0
304,8806,112,Pune,North Indian,30-01-2024 01:29,5,1125.75,Card,38,4,0
305,1154,860,Mumbai,Cafe,28-01-2024 18:56,7,682.59,NetBanking,27,4,0
306,2409,304,Bangalore,Mughlai,27-01-2024 02:49,5,1160.23,Cash,46,4,0
